Time, Queue-Density
12.2667, 0.26396, 0.00607463
12.3333, 0.26363, 0.00558552
12.4, 0.263717, 0.00216989
12.4667, 0.263538, 0.0045938
12.5333, 0.263454, 0.00402633
12.6, 0.263449, 0.00104577
12.6667, 0.263398, 0.00287248
12.7333, 0.263611, 0.00310757
12.8, 0.263806, 0.0012133
12.8667, 0.263298, 0.00202127
12.9333, 0.263244, 0.00185644
13, 0.262555, 0.0050748
13.0667, 0.262882, 0.00163755
13.1333, 0.263068, 0.00153487
13.2, 0.263357, 0.00114034
13.2667, 0.263276, 0.00195642
13.3333, 0.263341, 0.00195642
13.4, 0.263676, 0.000937676
13.4667, 0.263838, 0.00208072
13.5333, 0.264208, 0.00152136
13.6, 0.264527, 0.000667452
13.6667, 0.264595, 0.00147002
13.7333, 0.264627, 0.00175375
13.8, 0.264633, 0.0008458
13.8667, 0.264722, 0.00166458
13.9333, 0.264638, 0.0014457
14, 0.264643, 0.000578278
14.0667, 0.264943, 0.00111873
14.1333, 0.264706, 0.00113224
14.2, 0.264897, 0.000675559
14.2667, 0.264727, 0.00165917
14.3333, 0.265076, 0.00156189
14.4, 0.264981, 0.000840395
14.4667, 0.264827, 0.00148893
14.5333, 0.264987, 0.000853906
14.6, 0.265338, 4.05335e-05
14.6667, 0.262868, 0.00510182
14.7333, 0.263503, 0.000802564
14.8, 0.264062, 0.000659345
14.8667, 0.263889, 0.001697
14.9333, 0.264133, 0.00114034
15, 0.264216, 0.000124303
15.0667, 0.264017, 0.000148623
15.1333, 0.263908, 0.000397229
15.2, 0.263708, 0.00020537
15.2667, 0.263652, 0.000986316
15.3333, 0.26373, 0.0014511
15.4, 0.26383, 0.000729604
15.4667, 0.263854, 0.00111873
15.5333, 0.264046, 0.0013241
15.6, 0.263979, 0.000805266
15.6667, 0.264446, 0.00207261
15.7333, 0.264354, 0.0024212
15.8, 0.264298, 0.00139706
15.8667, 0.264076, 0.00258334
15.9333, 0.263384, 0.00291571
16, 0.262822, 0.00146461
16.0667, 0.262622, 0.00256983
16.1333, 0.262876, 0.00280762
16.2, 0.262671, 0.0016916
16.2667, 0.262987, 0.00274277
16.3333, 0.261303, 0.00660697
16.4, 0.261374, 0.00167809
16.4667, 0.261914, 0.002786
16.5333, 0.262338, 0.00255091
16.6, 0.26249, 0.00131058
16.6667, 0.263033, 0.00172403
16.7333, 0.263276, 0.00123762
16.8, 0.263322, 0.000897142
16.8667, 0.263668, 0.00128356
16.9333, 0.263762, 0.000978209
17, 0.263765, 0.000402633
17.0667, 0.263914, 0.00113764
17.1333, 0.264173, 0.000902547
17.2, 0.264035, 0.000499914
17.2667, 0.264057, 0.000878226
17.3333, 0.264162, 0.000867418
17.4, 0.264435, 0.000426953
17.4667, 0.264316, 0.000613407
17.5333, 0.264252, 0.000759328
17.6, 0.264227, 0.00015673
17.6667, 0.263889, 0.00114305
17.7333, 0.263698, 0.00129167
17.8, 0.263906, 0.000453976
17.8667, 0.263719, 0.00121871
17.9333, 0.263652, 0.00105117
18, 0.261671, 0.00312649
18.0667, 0.261609, 0.000937676
18.1333, 0.26162, 0.000921462
18.2, 0.262068, 0.000337779
18.2667, 0.26216, 0.00127546
18.3333, 0.263641, 0.00345346
18.4, 0.264554, 0.00238067
18.4667, 0.266559, 0.00572333
18.5333, 0.269186, 0.00684476
18.6, 0.270505, 0.00464784
18.6667, 0.273264, 0.00732306
18.7333, 0.276177, 0.00891467
18.8, 0.277852, 0.00733387
18.8667, 0.281265, 0.0116331
18.9333, 0.283678, 0.0131167
19, 0.284753, 0.00974696
19.0667, 0.286596, 0.0149055
19.1333, 0.287915, 0.0154757
19.2, 0.288229, 0.0101091
19.2667, 0.288734, 0.0156297
19.3333, 0.289266, 0.0159405
19.4, 0.289599, 0.00992531
19.4667, 0.289412, 0.0163512
19.5333, 0.289377, 0.0160378
19.6, 0.289423, 0.00987127
19.6667, 0.286588, 0.020945
19.7333, 0.287123, 0.0182779
19.8, 0.286786, 0.01089
19.8667, 0.287204, 0.0186995
19.9333, 0.287937, 0.0188427
20, 0.288934, 0.0111575
20.0667, 0.29008, 0.0195885
20.1333, 0.291466, 0.0203046
20.2, 0.292028, 0.0122627
20.2667, 0.293141, 0.0208856
20.3333, 0.294438, 0.0217692
20.4, 0.294881, 0.0140922
20.4667, 0.296157, 0.0218341
20.5333, 0.296616, 0.0218178
20.6, 0.296619, 0.0138273
20.6667, 0.296219, 0.0206559
20.7333, 0.295773, 0.0206045
20.8, 0.295673, 0.0116574
20.8667, 0.293895, 0.0193102
20.9333, 0.293563, 0.0189751
21, 0.292657, 0.0104955
21.0667, 0.290374, 0.0177348
21.1333, 0.287902, 0.0162837
21.2, 0.28675, 0.00946053
21.2667, 0.284729, 0.0148704
21.3333, 0.281384, 0.0184752
21.4, 0.280878, 0.00759869
21.4667, 0.279181, 0.0105468
21.5333, 0.278352, 0.00932271
21.6, 0.278214, 0.00606382
21.6667, 0.277557, 0.00822831
21.7333, 0.27666, 0.00781486
21.8, 0.27599, 0.00453705
21.8667, 0.275136, 0.00636647
21.9333, 0.274628, 0.00603139
22, 0.274034, 0.00305623
22.0667, 0.273336, 0.00475864
22.1333, 0.272193, 0.00339131
22.2, 0.271567, 0.00176456
22.2667, 0.270448, 0.00245363
22.3333, 0.269213, 0.00189427
22.4, 0.26867, 0.000672857
22.4667, 0.267635, 0.00136193
22.5333, 0.266573, 0.000964698
22.6, 0.266127, 0.000464784
22.6667, 0.265559, 0.00170511
22.7333, 0.266319, 0.00240229
22.8, 0.266902, 0.00148353
22.8667, 0.267748, 0.00284275
22.9333, 0.268956, 0.00319674
23, 0.266378, 0.00729604
23.0667, 0.268421, 0.003748
23.1333, 0.269967, 0.00397499
23.2, 0.270578, 0.00272385
23.2667, 0.271053, 0.00405606
23.3333, 0.271167, 0.00414523
23.4, 0.271153, 0.00304272
23.4667, 0.271286, 0.00431277
23.5333, 0.271213, 0.00393175
23.6, 0.271161, 0.00298867
23.6667, 0.271221, 0.00391013
23.7333, 0.27125, 0.00404254
23.8, 0.271102, 0.00282384
23.8667, 0.270869, 0.00376421
23.9333, 0.270891, 0.00366964
24, 0.271013, 0.0027752
24.0667, 0.270934, 0.00394256
24.1333, 0.271013, 0.00403714
24.2, 0.270899, 0.00276168
24.2667, 0.270972, 0.00394256
24.3333, 0.271296, 0.0041128
24.4, 0.271237, 0.00272926
24.4667, 0.271426, 0.00388852
24.5333, 0.271196, 0.0039939
24.6, 0.271213, 0.00272656
24.6667, 0.269548, 0.00730955
24.7333, 0.269751, 0.00378313
24.8, 0.269907, 0.00259685
24.8667, 0.269824, 0.0038669
24.9333, 0.269637, 0.00382637
